Product Code,Product Name,Family,Category,Anatomical Category,Material,Size,Dimensions,Sterility,Packaging,UDI
SYN-HA-0048,SYNTHETIC Compression Screw 4.5 x 40 mm,hand_and_foot,implant,hand,cobalt_chrome,4.5 x 40 mm,4.5 × 40 mm,sterile,Single sterile blister,
SYN-HA-0049,SYNTHETIC Phalangeal Plate 3.5 x 20 mm,hand_and_foot,implant,lower_extremity,peek,3.5 x 20 mm,3.5 × 20 mm,non_sterile,Instrument tray,
SYN-HA-0050,SYNTHETIC Phalangeal Plate 4.0 x 30 mm,hand_and_foot,implant,spine,titanium_alloy,4.0 x 30 mm,4.0 × 30 mm,non_sterile,Instrument tray,
SYN-HA-0051,SYNTHETIC Phalangeal Plate 4.5 x 40 mm,hand_and_foot,implant,spine,titanium_alloy,4.5 x 40 mm,4.5 × 40 mm,non_sterile,Single sterile blister,
SYN-HI-0052,SYNTHETIC Femoral Stem 3.5 x 20 mm,hip_prosthesis,implant,pelvis,cobalt_chrome,3.5 x 20 mm,3.5 × 20 mm,non_sterile,Bulk pack,
SYN-HI-0053,SYNTHETIC Femoral Stem 4.0 x 30 mm,hip_prosthesis,implant,foot,uhmwpe,4.0 x 30 mm,4.0 × 30 mm,non_sterile,Single sterile blister,
SYN-HI-0054,SYNTHETIC Femoral Stem 4.5 x 40 mm,hip_prosthesis,implant,pelvis,peek,4.5 x 40 mm,4.5 × 40 mm,sterile,Bulk pack,
SYN-HI-0055,SYNTHETIC Acetabular Cup 3.5 x 20 mm,hip_prosthesis,implant,pelvis,stainless_steel_316l,3.5 x 20 mm,3.5 × 20 mm,sterilizable,Instrument tray,
SYN-HI-0056,SYNTHETIC Acetabular Cup 4.0 x 30 mm,hip_prosthesis,implant,hand,uhmwpe,4.0 x 30 mm,4.0 × 30 mm,sterilizable,Bulk pack,
SYN-HI-0057,SYNTHETIC Acetabular Cup 4.5 x 40 mm,hip_prosthesis,implant,upper_extremity,titanium_alloy,4.5 x 40 mm,4.5 × 40 mm,sterile,Bulk pack,
SYN-HI-0058,SYNTHETIC Femoral Head 3.5 x 20 mm,hip_prosthesis,implant,hand,stainless_steel_316l,3.5 x 20 mm,3.5 × 20 mm,non_sterile,Single sterile blister,
SYN-HI-0059,SYNTHETIC Femoral Head 4.0 x 30 mm,hip_prosthesis,implant,pelvis,commercially_pure_titanium,4.0 x 30 mm,4.0 × 30 mm,sterilizable,Bulk pack,
SYN-HI-0060,SYNTHETIC Femoral Head 4.5 x 40 mm,hip_prosthesis,implant,foot,titanium_alloy,4.5 x 40 mm,4.5 × 40 mm,sterilizable,Bulk pack,
SYN-EX-0061,SYNTHETIC Fixator Clamp 3.5 x 20 mm,external_fixators,implant,foot,cobalt_chrome,3.5 x 20 mm,3.5 × 20 mm,sterile,Instrument tray,
SYN-EX-0062,SYNTHETIC Fixator Clamp 4.0 x 30 mm,external_fixators,implant,upper_extremity,uhmwpe,4.0 x 30 mm,4.0 × 30 mm,sterilizable,Bulk pack,
SYN-EX-0063,SYNTHETIC Fixator Clamp 4.5 x 40 mm,external_fixators,implant,spine,cobalt_chrome,4.5 x 40 mm,4.5 × 40 mm,non_sterile,Single sterile blister,
SYN-EX-0064,SYNTHETIC Carbon Rod 3.5 x 20 mm,external_fixators,component,upper_extremity,stainless_steel_316l,3.5 x 20 mm,3.5 × 20 mm,sterilizable,Single sterile blister,
SYN-EX-0065,SYNTHETIC Carbon Rod 4.0 x 30 mm,external_fixators,component,foot,cobalt_chrome,4.0 x 30 mm,4.0 × 30 mm,sterile,Single sterile blister,
SYN-EX-0066,SYNTHETIC Carbon Rod 4.5 x 40 mm,external_fixators,component,upper_extremity,uhmwpe,4.5 x 40 mm,4.5 × 40 mm,non_sterile,Bulk pack,
SYN-EX-0067,SYNTHETIC Schanz Pin 3.5 x 20 mm,external_fixators,implant,pelvis,titanium_alloy,3.5 x 20 mm,3.5 × 20 mm,non_sterile,Bulk pack,
SYN-EX-0068,SYNTHETIC Schanz Pin 4.0 x 30 mm,external_fixators,implant,lower_extremity,peek,4.0 x 30 mm,4.0 × 30 mm,sterile,Single sterile blister,
SYN-EX-0069,SYNTHETIC Schanz Pin 4.5 x 40 mm,external_fixators,implant,upper_extremity,peek,4.5 x 40 mm,4.5 × 40 mm,sterilizable,Bulk pack,
SYN-PI-0070,SYNTHETIC Kirschner Wire 3.5 x 20 mm,pins_and_wires,implant,pelvis,stainless_steel_316l,3.5 x 20 mm,3.5 × 20 mm,non_sterile,Bulk pack,
SYN-PI-0071,SYNTHETIC Kirschner Wire 4.0 x 30 mm,pins_and_wires,implant,craniomaxillofacial,peek,4.0 x 30 mm,4.0 × 30 mm,non_sterile,Instrument tray,
SYN-PI-0072,SYNTHETIC Kirschner Wire 4.5 x 40 mm,pins_and_wires,implant,foot,peek,4.5 x 40 mm,4.5 × 40 mm,sterilizable,Single sterile blister,
SYN-PI-0073,SYNTHETIC Steinmann Pin 3.5 x 20 mm,pins_and_wires,implant,pelvis,stainless_steel_316l,3.5 x 20 mm,3.5 × 20 mm,sterile,Bulk pack,
SYN-PI-0074,SYNTHETIC Steinmann Pin 4.0 x 30 mm,pins_and_wires,implant,lower_extremity,commercially_pure_titanium,4.0 x 30 mm,4.0 × 30 mm,sterilizable,Instrument tray,
SYN-PI-0075,SYNTHETIC Steinmann Pin 4.5 x 40 mm,pins_and_wires,implant,lower_extremity,peek,4.5 x 40 mm,4.5 × 40 mm,sterilizable,Single sterile blister,
SYN-PI-0076,SYNTHETIC Cerclage Wire 3.5 x 20 mm,pins_and_wires,implant,lower_extremity,stainless_steel_316l,3.5 x 20 mm,3.5 × 20 mm,sterilizable,Single sterile blister,
SYN-PI-0077,SYNTHETIC Cerclage Wire 4.0 x 30 mm,pins_and_wires,implant,pelvis,peek,4.0 x 30 mm,4.0 × 30 mm,non_sterile,Instrument tray,
SYN-PI-0078,SYNTHETIC Cerclage Wire 4.5 x 40 mm,pins_and_wires,implant,lower_extremity,peek,4.5 x 40 mm,4.5 × 40 mm,sterile,Bulk pack,
SYN-OR-0079,SYNTHETIC Drill Bit 3.5 x 20 mm,orthopedic_instruments,instrument,craniomaxillofacial,commercially_pure_titanium,3.5 x 20 mm,3.5 × 20 mm,non_sterile,Bulk pack,
SYN-OR-0080,SYNTHETIC Drill Bit 4.0 x 30 mm,orthopedic_instruments,instrument,pelvis,stainless_steel_316l,4.0 x 30 mm,4.0 × 30 mm,sterilizable,Instrument tray,
SYN-OR-0081,SYNTHETIC Drill Bit 4.5 x 40 mm,orthopedic_instruments,instrument,foot,stainless_steel_316l,4.5 x 40 mm,4.5 × 40 mm,non_sterile,Instrument tray,
SYN-OR-0082,SYNTHETIC Depth Gauge 3.5 x 20 mm,orthopedic_instruments,instrument,spine,titanium_alloy,3.5 x 20 mm,3.5 × 20 mm,sterile,Bulk pack,
SYN-OR-0083,SYNTHETIC Depth Gauge 4.0 x 30 mm,orthopedic_instruments,instrument,upper_extremity,commercially_pure_titanium,4.0 x 30 mm,4.0 × 30 mm,non_sterile,Bulk pack,
SYN-OR-0084,SYNTHETIC Depth Gauge 4.5 x 40 mm,orthopedic_instruments,instrument,craniomaxillofacial,peek,4.5 x 40 mm,4.5 × 40 mm,non_sterile,Bulk pack,
SYN-OR-0085,SYNTHETIC Screwdriver Shaft 3.5 x 20 mm,orthopedic_instruments,instrument,foot,commercially_pure_titanium,3.5 x 20 mm,3.5 × 20 mm,sterilizable,Bulk pack,
SYN-OR-0086,SYNTHETIC Screwdriver Shaft 4.0 x 30 mm,orthopedic_instruments,instrument,lower_extremity,peek,4.0 x 30 mm,4.0 × 30 mm,sterilizable,Single sterile blister,
SYN-OR-0087,SYNTHETIC Screwdriver Shaft 4.5 x 40 mm,orthopedic_instruments,instrument,foot,peek,4.5 x 40 mm,4.5 × 40 mm,sterilizable,Instrument tray,
SYN-OR-0088,SYNTHETIC Reamer 3.5 x 20 mm,orthopedic_instruments,instrument,pelvis,commercially_pure_titanium,3.5 x 20 mm,3.5 × 20 mm,non_sterile,Single sterile blister,
SYN-OR-0089,SYNTHETIC Reamer 4.0 x 30 mm,orthopedic_instruments,instrument,spine,stainless_steel_316l,4.0 x 30 mm,4.0 × 30 mm,sterilizable,Single sterile blister,
SYN-OR-0090,SYNTHETIC Reamer 4.5 x 40 mm,orthopedic_instruments,instrument,spine,uhmwpe,4.5 x 40 mm,4.5 × 40 mm,non_sterile,Instrument tray,
SYN-RM-0001,SYNTHETIC Ti-6Al-4V Bar Stock Ø12mm,trauma,raw_material,not_specified,titanium_alloy,,,non_sterile,Bulk pack,
SYN-RM-0002,SYNTHETIC 316L Bar Stock Ø10mm,trauma,raw_material,not_specified,stainless_steel_316l,,,non_sterile,Bulk pack,
SYN-RM-0003,SYNTHETIC CoCr Bar Stock Ø16mm,trauma,raw_material,not_specified,cobalt_chrome,,,non_sterile,Bulk pack,
SYN-RM-0004,SYNTHETIC PEEK Rod Ø8mm,trauma,raw_material,not_specified,peek,,,non_sterile,Bulk pack,
