Lot Number,Product Code,Quantity,Unit,Manufacture Date,Expiry Date,Warehouse,Manufacturing Order,Supplier,Status
SYN-LOT-FG-0126,SYN-AR-0032,250,pcs,2026-01-18,,WH-02,SYN-MO-0094,,released
SYN-LOT-FG-0127,SYN-AR-0032,2000,pcs,2026-04-25,,WH-01,SYN-MO-0095,,quarantined
SYN-LOT-FG-0128,SYN-AR-0032,2000,pcs,2026-01-10,,WH-01,SYN-MO-0096,,blocked
SYN-LOT-FG-0129,SYN-AR-0033,250,pcs,2026-06-24,2031-06-01,WH-02,SYN-MO-0097,,released
SYN-LOT-FG-0130,SYN-AR-0033,500,pcs,2026-01-15,2031-06-01,WH-01,SYN-MO-0098,,quarantined
SYN-LOT-FG-0131,SYN-AR-0033,250,pcs,2026-01-19,2031-06-01,WH-02,SYN-MO-0099,,released
SYN-LOT-FG-0132,SYN-MA-0034,250,pcs,2026-02-28,,WH-01,SYN-MO-0100,,released
SYN-LOT-FG-0133,SYN-MA-0034,2000,pcs,2026-03-23,,WH-01,SYN-MO-0101,,released
SYN-LOT-FG-0134,SYN-MA-0034,2000,pcs,2026-06-10,,WH-02,SYN-MO-0102,,quarantined
SYN-LOT-FG-0135,SYN-MA-0035,500,pcs,2026-01-28,,WH-02,SYN-MO-0103,,blocked
SYN-LOT-FG-0136,SYN-MA-0035,2000,pcs,2026-01-13,,WH-02,SYN-MO-0104,,released
SYN-LOT-FG-0137,SYN-MA-0035,2000,pcs,2026-02-17,,WH-03,SYN-MO-0105,,released
SYN-LOT-FG-0138,SYN-MA-0036,1000,pcs,2026-04-12,2031-03-01,WH-02,SYN-MO-0106,,released
SYN-LOT-FG-0139,SYN-MA-0036,500,pcs,2026-01-20,2031-05-01,WH-03,SYN-MO-0107,,released
SYN-LOT-FG-0140,SYN-MA-0036,2000,pcs,2026-03-23,2031-04-01,WH-03,SYN-MO-0108,,blocked
SYN-LOT-FG-0141,SYN-MA-0037,250,pcs,2026-02-19,,WH-02,SYN-MO-0109,,released
SYN-LOT-FG-0142,SYN-MA-0037,500,pcs,2026-07-10,,WH-03,SYN-MO-0110,,quarantined
SYN-LOT-FG-0143,SYN-MA-0037,250,pcs,2026-07-24,,WH-02,SYN-MO-0111,,quarantined
SYN-LOT-FG-0144,SYN-MA-0038,2000,pcs,2026-04-15,,WH-01,SYN-MO-0112,,released
SYN-LOT-FG-0145,SYN-MA-0038,250,pcs,2026-06-24,,WH-03,SYN-MO-0113,,released
SYN-LOT-FG-0146,SYN-MA-0038,2000,pcs,2026-05-24,,WH-02,SYN-MO-0114,,quarantined
SYN-LOT-FG-0147,SYN-MA-0039,1000,pcs,2026-04-24,2031-01-01,WH-01,SYN-MO-0115,,blocked
SYN-LOT-FG-0148,SYN-MA-0039,250,pcs,2026-03-21,2031-05-01,WH-02,SYN-MO-0116,,released
SYN-LOT-FG-0149,SYN-MA-0039,1000,pcs,2026-01-18,2031-04-01,WH-01,SYN-MO-0117,,released
SYN-LOT-FG-0150,SYN-MA-0040,2000,pcs,2026-01-18,2031-01-01,WH-02,SYN-MO-0118,,released
SYN-LOT-FG-0151,SYN-MA-0040,2000,pcs,2026-04-11,2031-07-01,WH-03,SYN-MO-0119,,released
SYN-LOT-FG-0152,SYN-MA-0040,500,pcs,2026-05-10,2031-03-01,WH-03,SYN-MO-0120,,released
SYN-LOT-FG-0153,SYN-MA-0041,2000,pcs,2026-06-11,,WH-02,SYN-MO-0121,,released
SYN-LOT-FG-0154,SYN-MA-0041,1000,pcs,2026-04-25,,WH-02,SYN-MO-0122,,released
SYN-LOT-FG-0155,SYN-MA-0041,1000,pcs,2026-03-14,,WH-01,SYN-MO-0123,,released
SYN-LOT-FG-0156,SYN-MA-0042,250,pcs,2026-03-19,2031-03-01,WH-02,SYN-MO-0124,,released
SYN-LOT-FG-0157,SYN-MA-0042,1000,pcs,2026-05-25,2031-04-01,WH-03,SYN-MO-0125,,released
SYN-LOT-FG-0158,SYN-MA-0042,500,pcs,2026-06-28,2031-08-01,WH-03,SYN-MO-0126,,released
SYN-LOT-FG-0159,SYN-HA-0043,500,pcs,2026-05-21,,WH-02,SYN-MO-0127,,released
SYN-LOT-FG-0160,SYN-HA-0043,500,pcs,2026-06-27,,WH-03,SYN-MO-0128,,released
SYN-LOT-FG-0161,SYN-HA-0043,1000,pcs,2026-03-19,,WH-03,SYN-MO-0129,,released
SYN-LOT-FG-0162,SYN-HA-0044,1000,pcs,2026-06-22,2031-07-01,WH-03,SYN-MO-0130,,released
SYN-LOT-FG-0163,SYN-HA-0044,500,pcs,2026-01-21,2031-05-01,WH-02,SYN-MO-0131,,blocked
SYN-LOT-FG-0164,SYN-HA-0044,250,pcs,2026-03-23,2031-04-01,WH-03,SYN-MO-0132,,quarantined
SYN-LOT-FG-0165,SYN-HA-0045,500,pcs,2026-03-19,,WH-03,SYN-MO-0133,,quarantined
SYN-LOT-FG-0166,SYN-HA-0045,500,pcs,2026-07-12,,WH-03,SYN-MO-0134,,quarantined
SYN-LOT-FG-0167,SYN-HA-0045,2000,pcs,2026-04-23,,WH-01,SYN-MO-0135,,released
SYN-LOT-FG-0168,SYN-HA-0046,1000,pcs,2026-06-19,2031-03-01,WH-02,SYN-MO-0136,,quarantined
SYN-LOT-FG-0169,SYN-HA-0046,500,pcs,2026-02-23,2031-09-01,WH-02,SYN-MO-0137,,released
SYN-LOT-FG-0170,SYN-HA-0046,1000,pcs,2026-06-10,2031-06-01,WH-03,SYN-MO-0138,,quarantined
SYN-LOT-FG-0171,SYN-HA-0047,2000,pcs,2026-01-24,,WH-03,SYN-MO-0139,,blocked
SYN-LOT-FG-0172,SYN-HA-0047,2000,pcs,2026-02-13,,WH-01,SYN-MO-0140,,quarantined
SYN-LOT-FG-0173,SYN-HA-0047,1000,pcs,2026-06-14,,WH-01,SYN-MO-0141,,released
SYN-LOT-FG-0174,SYN-HA-0048,500,pcs,2026-07-20,2031-05-01,WH-02,SYN-MO-0142,,released
SYN-LOT-FG-0175,SYN-HA-0048,250,pcs,2026-06-23,2031-04-01,WH-03,SYN-MO-0143,,released
SYN-LOT-FG-0176,SYN-HA-0048,2000,pcs,2026-04-20,2031-06-01,WH-01,SYN-MO-0144,,released
SYN-LOT-FG-0177,SYN-HA-0049,250,pcs,2026-01-21,,WH-02,SYN-MO-0145,,released
SYN-LOT-FG-0178,SYN-HA-0049,1000,pcs,2026-07-13,,WH-03,SYN-MO-0146,,blocked
SYN-LOT-FG-0179,SYN-HA-0049,1000,pcs,2026-01-21,,WH-01,SYN-MO-0147,,released
SYN-LOT-FG-0180,SYN-HA-0050,2000,pcs,2026-06-16,,WH-01,SYN-MO-0148,,blocked
SYN-LOT-FG-0181,SYN-HA-0050,2000,pcs,2026-05-18,,WH-01,SYN-MO-0149,,released
SYN-LOT-FG-0182,SYN-HA-0050,250,pcs,2026-02-13,,WH-03,SYN-MO-0150,,quarantined
SYN-LOT-FG-0183,SYN-HA-0051,2000,pcs,2026-03-26,,WH-01,SYN-MO-0151,,blocked
SYN-LOT-FG-0184,SYN-HA-0051,1000,pcs,2026-01-20,,WH-03,SYN-MO-0152,,blocked
SYN-LOT-FG-0185,SYN-HA-0051,2000,pcs,2026-01-11,,WH-01,SYN-MO-0153,,released
SYN-LOT-FG-0186,SYN-HI-0052,1000,pcs,2026-02-13,,WH-01,SYN-MO-0154,,blocked
SYN-LOT-FG-0187,SYN-HI-0052,500,pcs,2026-02-23,,WH-02,SYN-MO-0155,,quarantined
SYN-LOT-FG-0188,SYN-HI-0052,2000,pcs,2026-03-25,,WH-03,SYN-MO-0156,,quarantined
SYN-LOT-FG-0189,SYN-HI-0053,2000,pcs,2026-02-17,,WH-01,SYN-MO-0157,,released
SYN-LOT-FG-0190,SYN-HI-0053,1000,pcs,2026-06-22,,WH-02,SYN-MO-0158,,released
SYN-LOT-FG-0191,SYN-HI-0053,500,pcs,2026-02-27,,WH-01,SYN-MO-0159,,blocked
SYN-LOT-FG-0192,SYN-HI-0054,500,pcs,2026-07-23,2031-05-01,WH-02,SYN-MO-0160,,blocked
SYN-LOT-FG-0193,SYN-HI-0054,1000,pcs,2026-04-10,2031-05-01,WH-03,SYN-MO-0161,,quarantined
SYN-LOT-FG-0194,SYN-HI-0054,250,pcs,2026-06-26,2031-03-01,WH-01,SYN-MO-0162,,quarantined
SYN-LOT-FG-0195,SYN-HI-0055,1000,pcs,2026-05-13,,WH-03,SYN-MO-0163,,released
SYN-LOT-FG-0196,SYN-HI-0055,1000,pcs,2026-06-26,,WH-01,SYN-MO-0164,,released
SYN-LOT-FG-0197,SYN-HI-0055,2000,pcs,2026-01-23,,WH-02,SYN-MO-0165,,released
SYN-LOT-FG-0198,SYN-HI-0056,500,pcs,2026-07-14,,WH-01,SYN-MO-0166,,quarantined
SYN-LOT-FG-0199,SYN-HI-0056,500,pcs,2026-01-23,,WH-02,SYN-MO-0167,,released
SYN-LOT-FG-0200,SYN-HI-0056,250,pcs,2026-06-16,,WH-02,SYN-MO-0168,,blocked
SYN-LOT-FG-0201,SYN-HI-0057,250,pcs,2026-04-21,2031-08-01,WH-03,SYN-MO-0169,,released
SYN-LOT-FG-0202,SYN-HI-0057,1000,pcs,2026-02-10,2031-08-01,WH-01,SYN-MO-0170,,released
SYN-LOT-FG-0203,SYN-HI-0057,1000,pcs,2026-05-17,2031-06-01,WH-03,SYN-MO-0171,,released
SYN-LOT-FG-0204,SYN-HI-0058,2000,pcs,2026-07-21,,WH-01,SYN-MO-0172,,released
SYN-LOT-FG-0205,SYN-HI-0058,250,pcs,2026-01-13,,WH-02,SYN-MO-0173,,released
SYN-LOT-FG-0206,SYN-HI-0058,500,pcs,2026-07-13,,WH-01,SYN-MO-0174,,released
SYN-LOT-FG-0207,SYN-HI-0059,500,pcs,2026-01-16,,WH-02,SYN-MO-0175,,released
SYN-LOT-FG-0208,SYN-HI-0059,2000,pcs,2026-07-21,,WH-02,SYN-MO-0176,,released
SYN-LOT-FG-0209,SYN-HI-0059,500,pcs,2026-04-14,,WH-02,SYN-MO-0177,,quarantined
SYN-LOT-FG-0210,SYN-HI-0060,2000,pcs,2026-03-19,,WH-02,SYN-MO-0178,,released
SYN-LOT-FG-0211,SYN-HI-0060,2000,pcs,2026-06-12,,WH-01,SYN-MO-0179,,released
SYN-LOT-FG-0212,SYN-HI-0060,2000,pcs,2026-02-19,,WH-02,SYN-MO-0180,,blocked
SYN-LOT-FG-0213,SYN-EX-0061,2000,pcs,2026-03-20,2031-03-01,WH-01,SYN-MO-0181,,released
SYN-LOT-FG-0214,SYN-EX-0061,1000,pcs,2026-02-23,2031-05-01,WH-01,SYN-MO-0182,,quarantined
SYN-LOT-FG-0215,SYN-EX-0061,500,pcs,2026-04-12,2031-05-01,WH-02,SYN-MO-0183,,released
SYN-LOT-FG-0216,SYN-EX-0062,2000,pcs,2026-02-25,,WH-02,SYN-MO-0184,,released
SYN-LOT-FG-0217,SYN-EX-0062,500,pcs,2026-04-22,,WH-01,SYN-MO-0185,,released
SYN-LOT-FG-0218,SYN-EX-0062,1000,pcs,2026-02-14,,WH-03,SYN-MO-0186,,quarantined
SYN-LOT-FG-0219,SYN-EX-0063,250,pcs,2026-01-19,,WH-01,SYN-MO-0187,,released
SYN-LOT-FG-0220,SYN-EX-0063,250,pcs,2026-05-20,,WH-01,SYN-MO-0188,,blocked
SYN-LOT-FG-0221,SYN-EX-0063,500,pcs,2026-03-27,,WH-03,SYN-MO-0189,,released
SYN-LOT-FG-0222,SYN-EX-0064,250,pcs,2026-03-18,,WH-02,SYN-MO-0190,,released
SYN-LOT-FG-0223,SYN-EX-0064,2000,pcs,2026-06-22,,WH-01,SYN-MO-0191,,released
SYN-LOT-FG-0224,SYN-EX-0064,250,pcs,2026-06-21,,WH-02,SYN-MO-0192,,blocked
SYN-LOT-FG-0225,SYN-EX-0065,500,pcs,2026-01-24,2031-02-01,WH-01,SYN-MO-0193,,released
SYN-LOT-FG-0226,SYN-EX-0065,500,pcs,2026-07-28,2031-07-01,WH-01,SYN-MO-0194,,blocked
SYN-LOT-FG-0227,SYN-EX-0065,1000,pcs,2026-05-11,2031-01-01,WH-01,SYN-MO-0195,,released
SYN-LOT-FG-0228,SYN-EX-0066,2000,pcs,2026-03-24,,WH-03,SYN-MO-0196,,blocked
SYN-LOT-FG-0229,SYN-EX-0066,500,pcs,2026-03-28,,WH-03,SYN-MO-0197,,released
SYN-LOT-FG-0230,SYN-EX-0066,500,pcs,2026-04-11,,WH-03,SYN-MO-0198,,quarantined
SYN-LOT-FG-0231,SYN-EX-0067,250,pcs,2026-02-22,,WH-02,SYN-MO-0199,,released
SYN-LOT-FG-0232,SYN-EX-0067,250,pcs,2026-02-16,,WH-01,SYN-MO-0200,,released
SYN-LOT-FG-0233,SYN-EX-0067,2000,pcs,2026-07-21,,WH-01,SYN-MO-0201,,released
SYN-LOT-FG-0234,SYN-EX-0068,500,pcs,2026-04-23,2031-03-01,WH-01,SYN-MO-0202,,released
