Shipment,Lot Number,Quantity,Customer,Sales Order,Shipped Date
SYN-SH-3030,SYN-LOT-FG-0081,125,SYN-CUST-018,SYN-ORD-0199,2026-08-01
SYN-SH-3031,SYN-LOT-FG-0083,500,SYN-CUST-001,SYN-ORD-0205,2026-08-27
SYN-SH-3032,SYN-LOT-FG-0087,250,SYN-CUST-016,SYN-ORD-0024,2026-08-21
SYN-SH-3033,SYN-LOT-FG-0088,62,SYN-CUST-021,SYN-ORD-0151,2026-06-10
SYN-SH-3034,SYN-LOT-FG-0089,62,SYN-CUST-022,SYN-ORD-0274,2026-07-22
SYN-SH-3035,SYN-LOT-FG-0090,62,SYN-CUST-008,SYN-ORD-0002,2026-07-26
SYN-SH-3036,SYN-LOT-FG-0092,500,SYN-CUST-001,SYN-ORD-0050,2026-08-03
SYN-SH-3037,SYN-LOT-FG-0094,62,SYN-CUST-022,SYN-ORD-0067,2026-07-23
SYN-SH-3038,SYN-LOT-FG-0095,500,SYN-CUST-024,SYN-ORD-0160,2026-08-13
SYN-SH-3039,SYN-LOT-FG-0099,125,SYN-CUST-024,SYN-ORD-0089,2026-08-20
SYN-SH-3040,SYN-LOT-FG-0100,500,SYN-CUST-012,SYN-ORD-0180,2026-07-24
SYN-SH-3041,SYN-LOT-FG-0101,125,SYN-CUST-001,SYN-ORD-0213,2026-08-25
SYN-SH-3042,SYN-LOT-FG-0103,125,SYN-CUST-021,SYN-ORD-0067,2026-06-20
SYN-SH-3043,SYN-LOT-FG-0104,500,SYN-CUST-010,SYN-ORD-0007,2026-07-04
SYN-SH-3044,SYN-LOT-FG-0106,500,SYN-CUST-008,SYN-ORD-0268,2026-08-12
SYN-SH-3045,SYN-LOT-FG-0107,125,SYN-CUST-008,SYN-ORD-0160,2026-06-09
SYN-SH-3046,SYN-LOT-FG-0109,500,SYN-CUST-012,SYN-ORD-0300,2026-08-26
SYN-SH-3047,SYN-LOT-FG-0111,500,SYN-CUST-025,SYN-ORD-0240,2026-06-09
SYN-SH-3048,SYN-LOT-FG-0112,125,SYN-CUST-013,SYN-ORD-0162,2026-06-24
SYN-SH-3049,SYN-LOT-FG-0113,250,SYN-CUST-005,SYN-ORD-0010,2026-08-24
SYN-SH-3050,SYN-LOT-FG-0117,62,SYN-CUST-023,SYN-ORD-0243,2026-07-22
SYN-SH-3051,SYN-LOT-FG-0120,125,SYN-CUST-006,SYN-ORD-0240,2026-08-03
SYN-SH-3052,SYN-LOT-FG-0121,125,SYN-CUST-021,SYN-ORD-0155,2026-08-23
SYN-SH-3053,SYN-LOT-FG-0125,125,SYN-CUST-004,SYN-ORD-0200,2026-06-23
SYN-SH-3054,SYN-LOT-FG-0126,62,SYN-CUST-015,SYN-ORD-0242,2026-08-05
SYN-SH-3055,SYN-LOT-FG-0129,62,SYN-CUST-002,SYN-ORD-0200,2026-06-21
SYN-SH-3056,SYN-LOT-FG-0131,62,SYN-CUST-003,SYN-ORD-0132,2026-06-09
SYN-SH-3057,SYN-LOT-FG-0132,62,SYN-CUST-018,SYN-ORD-0033,2026-06-22
SYN-SH-3058,SYN-LOT-FG-0133,500,SYN-CUST-020,SYN-ORD-0036,2026-08-15
SYN-SH-3059,SYN-LOT-FG-0136,500,SYN-CUST-024,SYN-ORD-0240,2026-08-10
SYN-SH-3060,SYN-LOT-FG-0137,500,SYN-CUST-005,SYN-ORD-0166,2026-06-05
SYN-SH-3061,SYN-LOT-FG-0138,250,SYN-CUST-022,SYN-ORD-0203,2026-06-20
SYN-SH-3062,SYN-LOT-FG-0139,125,SYN-CUST-013,SYN-ORD-0034,2026-07-02
SYN-SH-3063,SYN-LOT-FG-0141,62,SYN-CUST-005,SYN-ORD-0249,2026-07-26
SYN-SH-3064,SYN-LOT-FG-0144,500,SYN-CUST-008,SYN-ORD-0269,2026-08-26
SYN-SH-3065,SYN-LOT-FG-0145,62,SYN-CUST-011,SYN-ORD-0218,2026-06-20
SYN-SH-3066,SYN-LOT-FG-0148,62,SYN-CUST-014,SYN-ORD-0060,2026-08-06
SYN-SH-3067,SYN-LOT-FG-0149,250,SYN-CUST-013,SYN-ORD-0299,2026-06-04
SYN-SH-3068,SYN-LOT-FG-0150,500,SYN-CUST-005,SYN-ORD-0063,2026-07-19
SYN-SH-3069,SYN-LOT-FG-0151,500,SYN-CUST-021,SYN-ORD-0104,2026-08-15
SYN-SH-3070,SYN-LOT-FG-0152,125,SYN-CUST-013,SYN-ORD-0299,2026-06-11
SYN-SH-3071,SYN-LOT-FG-0153,500,SYN-CUST-023,SYN-ORD-0034,2026-06-16
SYN-SH-3072,SYN-LOT-FG-0154,250,SYN-CUST-018,SYN-ORD-0272,2026-06-01
SYN-SH-3073,SYN-LOT-FG-0155,250,SYN-CUST-014,SYN-ORD-0016,2026-06-02
SYN-SH-3074,SYN-LOT-FG-0156,62,SYN-CUST-012,SYN-ORD-0281,2026-06-08
SYN-SH-3075,SYN-LOT-FG-0157,250,SYN-CUST-001,SYN-ORD-0278,2026-08-18
SYN-SH-3076,SYN-LOT-FG-0158,125,SYN-CUST-009,SYN-ORD-0045,2026-08-20
SYN-SH-3077,SYN-LOT-FG-0159,125,SYN-CUST-017,SYN-ORD-0156,2026-08-03
SYN-SH-3078,SYN-LOT-FG-0160,125,SYN-CUST-024,SYN-ORD-0094,2026-08-24
SYN-SH-3079,SYN-LOT-FG-0161,250,SYN-CUST-001,SYN-ORD-0198,2026-08-03
SYN-SH-3080,SYN-LOT-FG-0162,250,SYN-CUST-018,SYN-ORD-0019,2026-06-20
SYN-SH-3081,SYN-LOT-FG-0167,500,SYN-CUST-021,SYN-ORD-0025,2026-08-05
SYN-SH-3082,SYN-LOT-FG-0169,125,SYN-CUST-007,SYN-ORD-0022,2026-08-04
SYN-SH-3083,SYN-LOT-FG-0173,250,SYN-CUST-012,SYN-ORD-0060,2026-07-09
SYN-SH-3084,SYN-LOT-FG-0174,125,SYN-CUST-005,SYN-ORD-0229,2026-06-01
SYN-SH-3085,SYN-LOT-FG-0175,62,SYN-CUST-016,SYN-ORD-0178,2026-08-15
SYN-SH-3086,SYN-LOT-FG-0176,500,SYN-CUST-025,SYN-ORD-0152,2026-07-05
SYN-SH-3087,SYN-LOT-FG-0177,62,SYN-CUST-001,SYN-ORD-0197,2026-06-10
SYN-SH-3088,SYN-LOT-FG-0179,250,SYN-CUST-013,SYN-ORD-0175,2026-06-14
SYN-SH-3089,SYN-LOT-FG-0181,500,SYN-CUST-021,SYN-ORD-0190,2026-08-05
SYN-SH-3090,SYN-LOT-FG-0185,500,SYN-CUST-025,SYN-ORD-0188,2026-08-01
SYN-SH-3091,SYN-LOT-FG-0189,500,SYN-CUST-002,SYN-ORD-0234,2026-07-22
SYN-SH-3092,SYN-LOT-FG-0190,250,SYN-CUST-008,SYN-ORD-0191,2026-06-05
SYN-SH-3093,SYN-LOT-FG-0195,250,SYN-CUST-014,SYN-ORD-0016,2026-08-05
SYN-SH-3094,SYN-LOT-FG-0196,250,SYN-CUST-020,SYN-ORD-0085,2026-08-03
SYN-SH-3095,SYN-LOT-FG-0197,500,SYN-CUST-005,SYN-ORD-0058,2026-06-01
SYN-SH-3096,SYN-LOT-FG-0199,125,SYN-CUST-019,SYN-ORD-0158,2026-08-02
SYN-SH-3097,SYN-LOT-FG-0201,62,SYN-CUST-006,SYN-ORD-0219,2026-07-06
SYN-SH-3098,SYN-LOT-FG-0202,250,SYN-CUST-009,SYN-ORD-0012,2026-06-18
SYN-SH-3099,SYN-LOT-FG-0203,250,SYN-CUST-005,SYN-ORD-0174,2026-08-02
SYN-SH-3100,SYN-LOT-FG-0204,500,SYN-CUST-015,SYN-ORD-0179,2026-06-07
SYN-SH-3101,SYN-LOT-FG-0205,62,SYN-CUST-002,SYN-ORD-0114,2026-06-03
SYN-SH-3102,SYN-LOT-FG-0206,125,SYN-CUST-023,SYN-ORD-0060,2026-08-12
SYN-SH-3103,SYN-LOT-FG-0207,125,SYN-CUST-025,SYN-ORD-0093,2026-08-11
SYN-SH-3104,SYN-LOT-FG-0208,500,SYN-CUST-020,SYN-ORD-0264,2026-07-28
SYN-SH-3105,SYN-LOT-FG-0210,500,SYN-CUST-012,SYN-ORD-0248,2026-06-05
SYN-SH-3106,SYN-LOT-FG-0211,500,SYN-CUST-020,SYN-ORD-0124,2026-06-18
SYN-SH-3107,SYN-LOT-FG-0213,500,SYN-CUST-009,SYN-ORD-0211,2026-08-27
SYN-SH-3108,SYN-LOT-FG-0215,125,SYN-CUST-008,SYN-ORD-0207,2026-06-12
SYN-SH-3109,SYN-LOT-FG-0216,500,SYN-CUST-009,SYN-ORD-0097,2026-06-03
SYN-SH-3110,SYN-LOT-FG-0217,125,SYN-CUST-013,SYN-ORD-0200,2026-07-02
SYN-SH-3111,SYN-LOT-FG-0219,62,SYN-CUST-023,SYN-ORD-0199,2026-07-12
SYN-SH-3112,SYN-LOT-FG-0221,125,SYN-CUST-019,SYN-ORD-0122,2026-06-04
SYN-SH-3113,SYN-LOT-FG-0222,62,SYN-CUST-004,SYN-ORD-0120,2026-06-24
SYN-SH-3114,SYN-LOT-FG-0223,500,SYN-CUST-019,SYN-ORD-0099,2026-06-09
SYN-SH-3115,SYN-LOT-FG-0225,125,SYN-CUST-023,SYN-ORD-0164,2026-06-07
SYN-SH-3116,SYN-LOT-FG-0227,250,SYN-CUST-020,SYN-ORD-0262,2026-08-02
SYN-SH-3117,SYN-LOT-FG-0229,125,SYN-CUST-025,SYN-ORD-0102,2026-08-20
SYN-SH-3118,SYN-LOT-FG-0231,62,SYN-CUST-001,SYN-ORD-0040,2026-07-11
SYN-SH-3119,SYN-LOT-FG-0232,62,SYN-CUST-015,SYN-ORD-0103,2026-07-04
SYN-SH-3120,SYN-LOT-FG-0233,500,SYN-CUST-012,SYN-ORD-0153,2026-07-17
SYN-SH-3121,SYN-LOT-FG-0234,125,SYN-CUST-016,SYN-ORD-0057,2026-08-15
SYN-SH-3122,SYN-LOT-FG-0236,62,SYN-CUST-025,SYN-ORD-0253,2026-07-18
SYN-SH-3123,SYN-LOT-FG-0237,250,SYN-CUST-003,SYN-ORD-0161,2026-07-21
SYN-SH-3124,SYN-LOT-FG-0238,125,SYN-CUST-024,SYN-ORD-0110,2026-06-12
SYN-SH-3125,SYN-LOT-FG-0241,62,SYN-CUST-001,SYN-ORD-0185,2026-06-06
SYN-SH-3126,SYN-LOT-FG-0242,125,SYN-CUST-012,SYN-ORD-0266,2026-07-06
SYN-SH-3127,SYN-LOT-FG-0243,125,SYN-CUST-012,SYN-ORD-0085,2026-08-17
SYN-SH-3128,SYN-LOT-FG-0246,62,SYN-CUST-009,SYN-ORD-0255,2026-06-07
SYN-SH-3129,SYN-LOT-FG-0247,62,SYN-CUST-011,SYN-ORD-0234,2026-06-11
SYN-SH-3130,SYN-LOT-FG-0251,500,SYN-CUST-020,SYN-ORD-0122,2026-07-24
SYN-SH-3131,SYN-LOT-FG-0252,500,SYN-CUST-007,SYN-ORD-0155,2026-08-16
SYN-SH-3132,SYN-LOT-FG-0254,250,SYN-CUST-011,SYN-ORD-0134,2026-06-28
SYN-SH-3133,SYN-LOT-FG-0256,500,SYN-CUST-021,SYN-ORD-0228,2026-08-21
SYN-SH-3134,SYN-LOT-FG-0257,125,SYN-CUST-023,SYN-ORD-0162,2026-08-08
SYN-SH-3135,SYN-LOT-FG-0258,62,SYN-CUST-017,SYN-ORD-0247,2026-06-22
SYN-SH-3136,SYN-LOT-FG-0260,125,SYN-CUST-020,SYN-ORD-0198,2026-06-20
SYN-SH-3137,SYN-LOT-FG-0261,62,SYN-CUST-003,SYN-ORD-0298,2026-07-17
SYN-SH-3138,SYN-LOT-FG-0262,125,SYN-CUST-018,SYN-ORD-0114,2026-08-13
SYN-SH-3139,SYN-LOT-FG-0263,62,SYN-CUST-005,SYN-ORD-0079,2026-08-20
SYN-SH-3140,SYN-LOT-FG-0264,250,SYN-CUST-015,SYN-ORD-0121,2026-08-24
SYN-SH-3141,SYN-LOT-FG-0265,125,SYN-CUST-017,SYN-ORD-0168,2026-07-10
SYN-SH-3142,SYN-LOT-FG-0267,250,SYN-CUST-001,SYN-ORD-0177,2026-08-18
SYN-SH-3143,SYN-LOT-FG-0269,500,SYN-CUST-009,SYN-ORD-0244,2026-07-20
SYN-SH-3144,SYN-LOT-FG-0270,250,SYN-CUST-015,SYN-ORD-0214,2026-06-04
SYN-SH-3145,SYN-LOT-FG-0273,125,SYN-CUST-014,SYN-ORD-0097,2026-06-07
SYN-SH-3146,SYN-LOT-FG-0274,500,SYN-CUST-020,SYN-ORD-0112,2026-06-26
SYN-SH-3147,SYN-LOT-FG-0275,62,SYN-CUST-024,SYN-ORD-0021,2026-06-21
SYN-SH-3148,SYN-LOT-FG-0279,62,SYN-CUST-023,SYN-ORD-0136,2026-07-13
SYN-SH-3149,SYN-LOT-FG-0281,62,SYN-CUST-017,SYN-ORD-0220,2026-08-16
SYN-SH-3150,SYN-LOT-FG-0285,500,SYN-CUST-001,SYN-ORD-0113,2026-07-15
SYN-SH-3151,SYN-LOT-FG-0286,125,SYN-CUST-023,SYN-ORD-0071,2026-07-16
SYN-SH-3152,SYN-LOT-FG-0287,250,SYN-CUST-007,SYN-ORD-0161,2026-07-24
SYN-SH-3153,SYN-LOT-FG-0288,62,SYN-CUST-006,SYN-ORD-0007,2026-06-02
SYN-SH-3154,SYN-LOT-FG-0289,250,SYN-CUST-017,SYN-ORD-0265,2026-06-04
SYN-SH-3155,SYN-LOT-FG-0290,125,SYN-CUST-004,SYN-ORD-0040,2026-07-28
SYN-SH-3156,SYN-LOT-FG-0293,62,SYN-CUST-015,SYN-ORD-0211,2026-06-14
SYN-SH-3157,SYN-LOT-FG-0298,62,SYN-CUST-018,SYN-ORD-0242,2026-06-25
SYN-SH-3158,SYN-LOT-FG-0299,125,SYN-CUST-007,SYN-ORD-0002,2026-06-17
SYN-SH-3159,SYN-LOT-FG-0300,62,SYN-CUST-003,SYN-ORD-0125,2026-07-19
SYN-SH-3160,SYN-LOT-FG-0301,250,SYN-CUST-008,SYN-ORD-0077,2026-08-09
SYN-SH-3161,SYN-LOT-FG-0302,500,SYN-CUST-005,SYN-ORD-0024,2026-08-19
